n_basis,fortran_s,julia_cpu_s,julia_gpu_s,notes
6,62.506,154.719,199.813,ok
16,,,,fortran_missing;julia_cpu_missing;julia_gpu_missing
32,,,,fortran_missing;julia_cpu_missing;julia_gpu_missing
